Relatório Unificado;;;;;;;;;;;;;;;;
Registro;Tipo;Parcela;Empresa;Emissão;Vencimento;Liquidação;Valor Bruto;Centro de Custos;Valor Líquido;Conta;Observações;Competência;Plano de Contas;Cliente / Fornecedor;Status;Adquirente / Bandeira
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;12/12/2024;12/12/2024;12/12/2024;200;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;200;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Retirada Lauro Sócio  - PIX;12/2024;Outras Saídas - Conta Corrente dos Sócios;LAURO SZMUSZ;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;12/12/2024;12/12/2024;12/12/2024;51,5;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;51,5;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;SISPAG PIX QR-CODE - PIX;12/2024;411-2 - Refeicoes e Lanches;PANIFICADORA CERRO CORA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;12/12/2024;12/12/2024;12/12/2024;612,24;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;612,24;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Mercadoria - Identificar NF  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;CENTRAL CABOS;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;12/12/2024;12/12/2024;12/12/2024;225,57;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;225,57;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de mercadoria - Identificar NF  - Boleto;12/2024;400-0 - Custo de Mercadorias Vendidas;NOVA LIMP DISTRIBUIDORA DE EMBALAGENS E DESCARTAVEIS;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;13/12/2024;13/12/2024;13/12/2024;1004,4;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1004,4;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Identificar NF - MAzer - Boleto;12/2024;400-0 - Custo de Mercadorias Vendidas;MAZER DISTRIBUIDORA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;13/12/2024;13/12/2024;13/12/2024;525,69;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;525,69;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra Supermercado - Pessoal Lauro  - PIX;12/2024;404-1 - OP Vale Refeicao;SONDA SUPERMERCADOS EXPORTACAO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;13/12/2024;13/12/2024;13/12/2024;249,9;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;249,9;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Certificado digital  - Boleto;12/2024;431-3 - Taxas e Emolumentos;CERTISIGN CERTIFICADORA DIGITAL S.A;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;13/12/2024;13/12/2024;13/12/2024;40;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;40;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Postagem de mercadoria  - PIX;12/2024;421-8 - Correios e fretes;FAST SERVICOS POSTAIS LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/01/2025;13/12/2024;26/12/2024;314,22;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;314,22;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Claro - Empresa | RECORRÊNCIA (1/14) - Boleto;11/2024;420-7 - Telefonia;CLARO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;155,28;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;155,28;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Combustível - Lauro pessoal  - PIX;12/2024;422-1 - Combustivel;AUTO POSTO CERRO CORA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;80;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;80;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;´Combustível - Lauro pessoal  - PIX;12/2024;422-1 - Combustivel;AUTO POSTO CERRO CORA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;15,9;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;15,9;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Uber - Pessoal Lauro - PIX;12/2024;422-0 - Uber e Taxi;UBER DO BRASIL TECNOLOGIA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;31,93;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;31,93;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Uber - pessoal lauro - PIX;12/2024;422-0 - Uber e Taxi;UBER DO BRASIL TECNOLOGIA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;1725,47;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1725,47;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Despesas pessoais - Lauro  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;1390,21;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1390,21;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;CONDOMINIO - CONTA PESSOAL  LAURO  - PIX;12/2024;420-8 - Condominio;LELLO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;284,1;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;284,1;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;LUZ - CONTA PESSOAL  LAURO  - Boleto;11/2024;420-2 - Energia Eletrica;ELETROPAULO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;16/12/2024;16/12/2024;16/12/2024;267,1;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;267,1;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;TELEFONE  - CONTA PESSOAL  LAURO  - Boleto;12/2024;420-7 - Telefonia;CLARO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;18/12/2024;18/12/2024;18/12/2024;177,5;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;177,5;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Contabilidade  - PIX;12/2024;425-6 - Contabilidade;EJC ASSESSORIA CONTABIL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;18/12/2024;18/12/2024;18/12/2024;983,18;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;983,18;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - Boleto;12/2024;400-0 - Custo de Mercadorias Vendidas;KALUNGA SA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;17/12/2024;18/12/2024;17/12/2024;1300;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1300;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - Boleto;12/2024;400-0 - Custo de Mercadorias Vendidas;KALUNGA SA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;18/12/2024;18/12/2024;18/12/2024;694;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;694;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;ACWARE COM EQUIPAMENTOS AUT COM EIRELI;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;18/12/2024;18/12/2024;18/12/2024;720;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;720;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;BICCI E GRECHI LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;18/12/2024;19/12/2024;3927;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;3927;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - Boleto;12/2024;400-0 - Custo de Mercadorias Vendidas;HAKUNA MATATA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/11/2024;18/12/2024;18/12/2024;550,16;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;550,16;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;INSS ATRASADO  - Boleto;09/2024;203-0 - INSS;RECEITA FEDERAL;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;18/12/2024;18/12/2024;111,35;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;111,35;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;CONTAS PESSOAIS / PARTICULARES LAURO  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;18/12/2024;17/12/2024;350;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;350;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;CONCERTO NOTEBOOK  - PIX;12/2024;410-9 - OP Outros Servicos Prestados;MR MICRO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;18/12/2024;17/12/2024;104;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;104;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;DESPESAS PESSOAIS / PARTICULARES LAURO - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;18/12/2024;17/12/2024;30,3;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;30,3;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;CONTAS PESSOAIS / PARTICULARES LAURO  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;19/12/2024;19/12/2024;19/12/2024;1275,58;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;1275,58;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Compra de produtos  - PIX;12/2024;400-0 - Custo de Mercadorias Vendidas;EVOLUE;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;19/12/2024;19/12/2024;19/12/2024;434,65;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;434,65;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Serviços de frete  - PIX;12/2024;421-8 - Correios e fretes;FAST SERVICOS POSTAIS LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;19/12/2024;19/12/2024;19/12/2024;80;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;80;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Combustível  - PIX;12/2024;422-1 - Combustivel;AUTO POSTO CERRO CORA LTDA;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;19/12/2024;19/12/2024;19/12/2024;2252,86;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;2252,86;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;Contas particulares - Lauro  - PIX;12/2024;425-1 - Outras Despesas;CONTAS PESSOAIS - LAURO;Liquidado (Conciliado);
Título;A Pagar;1/1;A.E.S. COMERCIAL E SERVICOS IMPORTACAO E EXPORTACAO LTDA.;01/12/2024;19/12/2024;19/12/2024;370,88;A.e.s. Comercial e Servicos Importacao e Exportacao Ltda.;370,88;A.E.S. - ITAU - CONTA CORRENTE - 11703-9;INTERNET - PESSOAL/PARTICULAR LAURO  - Boleto;12/2024;423-4 - Internet;NET SERVIÇOS;Liquidado (Conciliado);
